term	coef
(Intercept)	461.216273972009
PC1	96.930007960436
PC2	36.6547653086649
PC3	-103.352275648255
PC4	69.1152148716696
PC5	373.079515891197
PC6	-481.470186503125
PC7	73.0806320312448
PC8	-256.710218916225
PC9	-254.58023737067
PC10	32.705930141823
