category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	15/469	100/9520	0.00010365013949749	0.0337899454761817	0.0308768310292522	1436/3587/6369/1230/6364/8740/3627/6368/3579/57007/4283/6367/3559/6373/6362	15
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	19/469	157/9520	0.000251052540888347	0.0409215641648005	0.037393615300738	91937/23166/558/714/713/55576/8754/19/64805/89790/100133941/10326/5031/1850/487/29933/9023/246/177	19
